电影名称,电影片长,上映时间,导演,评分
再见列宁 Good Bye Lenin!,['121分钟'],"['2003-02-09(柏林电影节)', '2003-02-13(德国)']",['沃尔夫冈·贝克 '],8.8
面子 Saving Face,['91 分钟'],['2004-09-12(多伦多电影节)'],['伍思薇'],8.8
上帝也疯狂2 The Gods Must Be Crazy II,['98 分钟'],['1989-07-26'],['加美·尤伊斯'],8.8
我的邻居山田君 ホーホケキョとなりの山田くん,['104 分钟'],['1999-07-17(日本)'],['高畑勋'],8.8
一夜风流 It Happened One Night,['105 分钟'],['1934-02-22(美国)'],['弗兰克·卡普拉'],8.8
与玛格丽特的午后 La tête en friche,['82分钟'],['2010-06-02(法国)'],['让·贝克'],8.8
椿三十郎,['96分钟'],['1962-01-01(日本)'],['黑泽明'],8.8
办公室的故事 Служебный Роман,['159分钟'],['1977-02-03(苏联)'],['埃利达尔·梁赞诺夫'],8.8
邮差 Il postino,['108分钟'],['1994-09-01'],"['迈克尔·莱德福', '马西莫·特洛伊西']",8.8
阿玛柯德 Amarcord,['123分钟'],['1973-12-18(意大利)'],['费德里科·费里尼'],8.8
黄阿丽：小眼镜蛇 Ali Wong: Baby Cobra,['60分钟'],['2016-05-05(美国)'],['杰伊·卡拉斯'],8.8
舞台春秋 Limelight,['137 分钟'],['1952-10-16(英国)'],['查理·卓别林'],8.8
特雷弗·诺亚：天黑黑心慌慌 Trevor Noah: Afraid of the Dark,['67分钟'],['2017-02-21(美国)'],['David Paul Meyer'],8.8
阴道独白 The Vagina Monologues,['76分钟'],['2002-02-14(美国)'],['伊娃·恩斯特'],8.8
儿子 息子,['121分钟'],['1991-10-12(日本)'],['山田洋次'],8.8
小羊肖恩：美好时光 Shaun The Sheep: A Woolly Good Time,['45分钟'],['2010(英国)'],"['克里斯托弗·萨德勒', '理查德·斯塔扎克']",8.8
出租车司机冒险记 Adventures of a Taxi Driver,['89 分钟'],['1976-05-23(英国)'],['Stanley A. Long'],8.8
唐伯虎点秋香 唐伯虎點秋香,['102 分钟'],['1993-07-01(中国香港)'],['李力持'],8.7
功夫,['100分钟(3D重映)'],"['2004-12-23(中国大陆/中国香港)', '2015-01-15(中国大陆3D)', '2004-09-14(多伦多电影节)']",['周星驰'],8.7
超能陆战队 Big Hero 6,['102分钟'],"['2015-02-28(中国大陆)', '2020-07-31(中国大陆重映)', '2014-10-23(东京电影节)', '2014-11-07(美国)']","['唐·霍尔', '克里斯·威廉姆斯']",8.7
疯狂原始人 The Croods,['98分钟'],"['2013-04-20(中国大陆)', '2013-02-15(柏林电影节)', '2013-03-22(美国)']","['柯克·德·米科', '克里斯·桑德斯']",8.7
"怪兽电力公司 Monsters, Inc.",['92分钟'],"['2001-11-02(美国)', '2012-12-19(美国)']","['彼特·道格特', '大卫·西尔弗曼', '李·昂克里奇']",8.7
射雕英雄传之东成西就 射鵰英雄傳之東成西就,['113分钟(香港)'],['1993-02-05(中国香港)'],['刘镇伟'],8.7
头脑特工队 Inside Out,['95分钟'],"['2015-10-06(中国大陆)', '2015-06-19(美国)']","['彼特·道格特', '罗纳尔多·德尔·卡门']",8.7
无敌破坏王 Wreck-It Ralph,['101分钟'],"['2012-11-06(中国大陆)', '2012-11-02(美国)']",['瑞奇·摩尔'],8.7
大佛普拉斯,['102分钟'],"['2017-10-13(中国台湾)', '2017-06-29(台北电影节)']",['黄信尧'],8.7
遗愿清单 The Bucket List,['97 分钟'],"['2007-12-25(多伦多电影节)', '2008-01-11(美国)']",['罗伯·莱纳'],8.7
回到未来 Back to the Future,['116分钟'],['1985-07-03(美国)'],['罗伯特·泽米吉斯'],8.7
上帝也疯狂 The Gods Must Be Crazy,['109 分钟'],"['1980-09-10(南非)', '1981-08-21(挪威)']",['加美·尤伊斯'],8.7
疯狂约会美丽都 Les triplettes de Belleville,['Argentina: 80 分钟(Buenos Aires Festival Internacional de Cine Independiente)'],['2003-06-11(法国)'],['希尔万·肖默'],8.7
河童之夏 河童のクゥと夏休み,['138分钟'],['2007-07-28(日本)'],['原惠一'],8.7
热天午后 Dog Day Afternoon,['125 分钟'],['1975-09-21(美国)'],['西德尼·吕美特'],8.7
骗中骗 The Sting,['129分钟'],['1973-12-25'],['乔治·罗伊·希尔'],8.7
克劳斯：圣诞节的秘密 Klaus,['96分钟'],['2019-11-08(西班牙/英国)'],"['塞尔希奥·巴勃罗斯', '卡洛斯·马丁内斯·洛佩斯']",8.7
西伯利亚的理发师 Сибирский цирюльник,['180分钟'],"['1998-10-30(首映)', '1999-02-20(俄罗斯)']",['尼基塔·米哈尔科夫'],8.7
桃色公寓 The Apartment,['125 分钟'],['1960-06-15'],['比利·怀德'],8.7
亚当斯一家的价值观 Addams Family Values,['94 分钟'],['1993-11-19'],['巴里·索南菲尔德'],8.7
开罗紫玫瑰 The Purple Rose of Cairo,['82 分钟'],['1985-03-01'],['伍迪·艾伦'],8.7
玩乐时间 Play Time,['155分钟'],['1967-12-16(法国)'],['雅克·塔蒂'],8.7
五至七时的克莱奥 Cléo de 5 à 7,['90 分钟'],['1962-04-11(法国)'],['阿涅斯·瓦尔达'],8.7
王子与公主 Princes et princesses,['70 分钟'],['2002-11-18'],['Michel Ocelot'],8.7
街角的商店 The Shop Around the Corner,['99 分钟'],['1940-01-12'],['恩斯特·刘别谦'],8.7
摇滚芭比 Hedwig and the Angry Inch,['95 分钟'],['2001-07-20'],['约翰·卡梅隆·米切尔'],8.7
早安 お早よう,['94 分钟'],['1959-05-12'],['小津安二郎'],8.7
凡尔杜先生 Monsieur Verdoux,['124分钟'],['1947-04-11'],['查理·卓别林'],8.7
生命是个奇迹 Живот ?е чудо,['154分钟'],['2004-05-14'],['埃米尔·库斯图里卡'],8.7
毕加索的奇异旅程 Picassos ?ventyr,['115分钟'],['1978-05-20(瑞典)'],['泰治·丹尼尔森'],8.7
飞出个未来大电影1：班德大行动 Futurama: Bender&#39;s Big Score,['88 分钟'],['2007-11-27(美国)'],['Dwayne Carey-Hill'],8.7
猫和老鼠：魔法戒指 Tom and Jerry: The Magic Ring,['62分钟'],['2002-03-12(美国)'],['James T. Walker'],8.7
特雷弗·诺亚：派翠莎是我老妈 Trevor Noah: Son of Patricia,['63分钟'],['2018-11-20(美国)'],['David Paul Meyer'],8.7
生命的舞动 Inside I&#39;m Dancing,['104分钟'],['2004-10-15(英国)'],['戴米恩·奥唐纳'],8.7
秋天里的春光 Babí léto,['100分钟'],['2001-09-27(捷克)'],['伏拉基米尔·米切尔'],8.7
警察与小偷 Guardie e ladri,['105分钟'],['1951-11-29(意大利)'],"['马里奥·莫尼切利', '斯特诺']",8.7
快乐的结局 Stastny konec,['71 分钟'],"['1967(捷克斯洛伐克)', '1968-06-10(美国)']",['奥德里奇·利普斯基'],8.7
千面佳人 Penelope,['97 分钟'],['1966-11-10(美国)'],['阿瑟·希勒'],8.7
三毛学生意,['75分钟'],[],['黄佐临'],8.7
三个臭皮匠 The Three Stooges,['88分钟'],['2000-04-24(美国)'],['James Frawley'],8.7
救命！ Help!,['90 分钟'],['1965-07-29'],['理查德·莱斯特'],8.7
神偷奶爸 Despicable Me,['95分钟'],"['2010-06-20(莫斯科电影节)', '2010-07-09(美国)']","['皮埃尔·柯芬', '克里斯·雷纳德']",8.6
真爱至上 Love Actually,['135分钟'],"['2003-09-07(多伦多电影节)', '2003-11-06(美国)', '2003-11-21(英国)']",['理查德·柯蒂斯'],8.6
冰川时代 Ice Age,['81 分钟'],['2002-03-15(美国)'],"['卡洛斯·沙尔丹哈', '克里斯·韦奇']",8.6
九品芝麻官,['108分钟'],['1994-03-31(中国香港)'],['王晶'],8.6
再次出发之纽约遇见你 Begin Again,['104分钟'],"['2015-06-26(中国大陆)', '2013-09-07(多伦多电影节)', '2014-07-11(美国)']",['约翰·卡尼'],8.6
谁先爱上他的 誰先愛上他的,['100分钟'],"['2018-11-02(中国台湾)', '2018-04-22(乌迪内远东电影节)']","['徐誉庭', '许智彦']",8.6
玩具总动员4 Toy Story 4,['100分钟'],['2019-06-21(美国/中国大陆)'],['乔什·库雷'],8.6
海盗电台 The Boat That Rocked,['116 分钟'],['2009-04-01(英国)'],['理查德·柯蒂斯'],8.6
开心家族 ??? ???,['111分钟'],"['2011-11-29(中国大陆)', '2010-12-22(韩国)']",['金永卓'],8.6
土拨鼠之日 Groundhog Day,['101分钟'],['1993-02-12(美国)'],['哈罗德·雷米斯'],8.6
哪啊哪啊神去村 WOOD JOB！神去なあなあ日常,['116分钟'],['2014-05-10(日本)'],['矢口史靖'],8.6
巴黎淘气帮 Le petit Nicolas,['92分钟'],"['2013-02-10(中国大陆)', '2009-09-30(法国)']",['洛朗·蒂拉尔'],8.6
蝴蝶 Le papillon,['85 分钟'],['2002-12-18(法国)'],['费利普·弥勒'],8.6
机器管家 Bicentennial Man,['132分钟'],['1999-12-13(美国)'],['克里斯·哥伦布'],8.6
安妮·霍尔 Annie Hall,['93 分钟'],['1977-04-20'],['伍迪·艾伦'],8.6
小情人 ??????,['110分钟'],['2003-08-01(泰国)'],"['威特查·戈杰乌', '颂裕·素玛戈南', '尼提瓦·塔拉吞', '维塔亚·东俞扬', '埃迪森·特斯利卡森', '孔里特·契威摩']",8.6
内布拉斯加 Nebraska,['115分钟'],"['2013-05-23(戛纳电影节)', '2013-11-22(美国)']",['亚历山大·佩恩'],8.6
麻将 麻將,['121 分钟'],['1996-12-07'],['杨德昌'],8.6
解构爱情狂 Deconstructing Harry,['96 分钟'],['1997-12-12'],['伍迪·艾伦'],8.6
钢铁巨人 The Iron Giant,['86分钟'],['1999-08-06(美国)'],['布拉德·伯德'],8.6
甜蜜的生活 La Dolce Vita,['174分钟'],['1960-02-04(意大利)'],['费德里科·费里尼'],8.6
天堂陌影 Stranger Than Paradise,['89分钟'],['1984-11-09'],['吉姆·贾木许'],8.6
霹雳五号 Short Circuit,['98 分钟'],['1986-05-09'],['约翰·班德汉姆'],8.6
无声婚礼 Nunta Muta,['87分钟'],['2008-11-21(罗马尼亚)'],['霍拉丘·默勒埃莱'],8.6
流星语 流星語,['110分钟'],['1999-10-14(中国香港)'],['张之亮'],8.6
广播时间 ラヂオの時間,['103分钟'],['1997-11-08'],['三谷幸喜'],8.6
热带鱼 熱帶魚,['109分钟'],['1995-08-01(中国台湾)'],['陈玉勋'],8.6
星际宝贝史迪奇 Stitch! The Movie,['60分钟'],['2003-08-25(美国)'],"['托尼·克莱格', '罗伯茨·甘纳韦']",8.6
爵士春秋 All That Jazz,['123分钟'],['1979-12-20(美国)'],['鲍勃·福斯'],8.6
自由的幻影 Le fant?me de la liberté,['104分钟'],['1974-09-11(法国)'],['路易斯·布努埃尔'],8.6
纸月亮 Paper Moon,['102 分钟'],['1973-05-09'],['彼得·博格丹诺维奇'],8.6
稻草人,['94分钟'],"['1987-10-23(中国台湾)', '1988-04-15(中国香港)']",['王童'],8.6
落叶 Dead Leaves,['USA: 55 分钟(original version)'],['2004-01-17(日本)'],['今石洋之'],8.6
待客之道 Our Hospitality,['73 分钟(1995 alternate version)'],['1923-11-19(美国)'],"['约翰·G·布莱斯通', '巴斯特·基顿']",8.6
母亲的城堡 Le chateau de ma mère,['98分钟'],['1990-10-26'],['伊夫·罗贝尔'],8.6
"船长二世 Steamboat Bill, Jr.",['70分钟'],['1928-05-12(美国)'],"['查尔斯·赖斯纳', '巴斯特·基顿']",8.6
木更津猫眼 日本篇 木更津キャッツアイ 日本シリーズ,['123分钟'],['2003-11-01'],['金子文紀'],8.6
路易·C·K：老招笑了 Louis C.K.: Hilarious,['82分钟'],['2010'],['路易·C·K'],8.6
两头笨狗 2 Stupid Dogs,['22分钟'],['1993-09-18'],['Donovan Cook'],8.6
看狗在说话 Homeward Bound: The Incredible Journey,['84 分钟'],['1993-02-03(美国)'],['杜维因·邓纳姆'],8.6
谁在那儿歌唱？ Ko to tamo peva,['86 分钟'],['1980-01-01'],['斯洛博丹·希扬'],8.6
疯狂的石头,['106 分钟(香港)'],"['2006-06-30(中国大陆)', '2006-08-10(中国香港)']",['宁浩'],8.5
完美陌生人 Perfetti sconosciuti,['97分钟'],"['2018-05-25(中国大陆)', '2016-02-11(意大利)']",['保罗·杰诺维塞'],8.5
白日梦想家 The Secret Life of Walter Mitty,['114分钟'],['2013-12-25(美国)'],['本·斯蒂勒'],8.5
钢的琴,['119分钟'],"['2011-07-15(中国大陆)', '2017-11-11(中国大陆重映)', '2010-09-11(多伦多电影节)']",['张猛'],8.5
美食总动员 Ratatouille,['111分钟'],"['2007-10-19(中国大陆)', '2007-06-29(美国)']","['布拉德·伯德', '简·皮克瓦']",8.5
玩具总动员 Toy Story,['81分钟'],['1995-11-22(美国)'],['约翰·拉塞特'],8.5
了不起的狐狸爸爸 Fantastic Mr. Fox,['87分钟'],"['2009-10-14(伦敦电影节)', '2009-11-25(美国)']",['韦斯·安德森'],8.5
偷拐抢骗 Snatch,['104分钟'],['2000-09-01'],['盖·里奇'],8.5
麦兜故事 麥兜故事,['Japan: 75 分钟'],['2001-12-15'],['袁建滔'],8.5
红猪 紅の豚,['94分钟'],['1992-07-18(日本)'],['宫崎骏'],8.5
美女与野兽 Beauty and the Beast,['84分钟'],"['1991-09-29(纽约电影节)', '1991-11-22(美国)', '2012-01-13(美国)']","['加里·特洛斯达勒', '柯克·维斯']",8.5
盗钥匙的方法 鍵泥棒のメソッド,['128分钟'],"['2012-06-17(上海国际电影节)', '2012-09-15(日本)']",['内田贤治'],8.5
巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs,['133分钟'],"['2018-08-31(威尼斯电影节)', '2018-11-16(美国)']","['伊桑·科恩', '乔尔·科恩']",8.5
麦兜·当当伴我心 麥兜?噹噹伴我心,['80分钟'],"['2012-07-10(中国大陆)', '2017-04-07(中国大陆重映)', '2012-08-16(中国香港)']",['谢立文'],8.5
茜茜公主 Sissi,['102 分钟'],['1955-12-22(西德)'],['恩斯特·马里施卡'],8.5
回到未来2 Back to the Future Part II,['108分钟'],['1989-11-22(美国)'],['罗伯特·泽米吉斯'],8.5
百变狸猫 平成狸合戦ぽんぽこ,['119 分钟'],['1994-07-16(日本)'],['高畑勋'],8.5
回到未来3 Back to the Future Part III,['118分钟'],['1990-05-25(美国)'],['罗伯特·泽米吉斯'],8.5
三毛从军记,['90分钟'],['1992-10(中国大陆)'],['张建亚'],8.5
麦兜·我和我妈妈 麥兜?我和我媽媽,['81分钟'],"['2014-10-01(中国大陆/中国香港)', '2019-04-05(中国大陆重映)']","['谢立文', '李俊民']",8.5
那年夏天，宁静的海 あの夏、いちばん静かな海。,['101分钟'],['1991-10-19(日本)'],['北野武'],8.5
心房客 Asphalte,['100分钟'],['2015-10-07(法国)'],['萨米埃尔·本谢特里'],8.5
亚当斯一家 The Addams Family,['100分钟'],['1991-11-22'],['巴里·索南菲尔德'],8.5
水牛城66 Buffalo &#39;66,['110 分钟'],['1998-06-26'],['文森特·加洛'],8.5
海绵宝宝历险记 The SpongeBob SquarePants Movie,['87分钟'],['2004-11-19(美国)'],"['史蒂芬·海伦伯格', '马克·奥斯本']",8.5
交响情人梦 最终乐章 前篇 のだめカンタービレ 最終楽章 前編,['122分钟'],['2009-12-19(日本)'],['武内英树'],8.5
出水芙蓉 Bathing Beauty,['101分钟'],['1944-06-27(美国)'],['乔治·西德尼'],8.5
小姐与流浪汉 Lady and the Tramp,['76分钟'],"['1955-06-16(芝加哥首映)', '1955-06-22(美国)']","['克莱德·杰洛尼米', '汉密尔顿·卢斯科', '威尔弗雷德·杰克逊']",8.5
马路天使 馬路天使,['91分钟'],['1937(中国大陆)'],['袁牧之'],8.5
午夜狂奔 Midnight Run,['126 分钟'],['1988-07-20(美国)'],['马丁·布莱斯特'],8.5
邦尼和琼 Benny &amp; Joon,['98 分钟'],['1993-04-16'],['耶利米·S·谢奇克'],8.5
黑炮事件,['95分钟'],['1985(中国大陆)'],['黄建新'],8.5
笑之大学 笑の大学,['121分钟'],"['2004-10-25(东京国际电影节)', '2004-10-30(日本)']",['星护'],8.5
丘奇先生 Mr. Church,['104分钟'],"['2016-04-22(翠贝卡电影节)', '2016-06-11(上海电影节)']",['布鲁斯·贝尔斯福德'],8.5
二手狮王 Secondhand Lions,['111 分钟'],['2003-09-19'],['蒂姆·麦肯莱斯'],8.5
音乐会 Le concert,['122分钟'],['2009-11-04(法国)'],['拉杜·米哈伊列亚努'],8.5
莫斯科不相信眼泪 Москва слезам не верит,['148分钟'],['1980-02-11(苏联)'],['弗拉基米尔·缅绍夫'],8.5
狗脸的岁月 Mitt liv som hund,['101 分钟'],['1985-12-12'],['拉斯·霍尔斯道姆'],8.5
转转 転々,['101分钟'],['2007-11-10(日本)'],['三木聪'],8.5
"黑猫白猫 Црна мачка, бели мачор",['127分钟'],['1998-09-10'],['埃米尔·库斯图里卡'],8.5
芭萨提的颜色 Rang De Basanti,['167分钟'],['2006-01-26'],['拉凯什·奥姆普拉卡西·梅赫拉'],8.5
敲开天堂的门 Knockin&#39; on Heaven&#39;s Door,['87 分钟'],['1997-02-20(德国)'],['托马斯·雅恩'],8.5
喜剧之王 The King of Comedy,['109 分钟'],"['1982-12-18(冰岛)', '1983-02-18(美国部分上映)']",['马丁·斯科塞斯'],8.5
意大利人在俄罗斯的奇遇 Невероятные приключения итальянцев в России,['104分钟'],['1974-01-31'],"['埃利达尔·梁赞诺夫', '佛朗哥·普罗斯佩里']",8.5
孝子贤孙伺候着,['90分钟'],['1993'],"['陈佩斯', '曾剑锋']",8.5
我的舅舅 Mon Oncle,['117 分钟'],['1958-05-10'],['雅克·塔蒂'],8.5
