标题,日期,阅读次数,正文
刘焕鑫：把巩固拓展脱贫攻坚成果放在突出位置坚决守住不发生规模性返贫底线,2022/01/12,5025,刘焕鑫：把巩固拓展脱贫攻坚成果放在突出位置坚决守住不发生规模性返贫底线
（总书记和我握过手）“你看，乡亲们笑得多灿烂！”——回访河北正定县塔元庄...,2022/01/11,420,（总书记和我握过手）“你看，乡亲们笑得多灿烂！”——回访河北正定县塔元庄村干部群众
国家乡村振兴局与内蒙古自治区举行工作会谈,2022/01/10,704,国家乡村振兴局与内蒙古自治区举行工作会谈
习近平总书记关切事丨“第一棒”跑得怎么样？——驻村第一书记奋战乡村振兴新...,2022/01/10,961,习近平总书记关切事丨“第一棒”跑得怎么样？——驻村第一书记奋战乡村振兴新征程观察
接续奋斗绘就乡村振兴新图景,2022/01/10,1120,接续奋斗绘就乡村振兴新图景
胡春华在广西督导乡村振兴重点帮扶县巩固拓展脱贫攻坚成果工作,2022/01/10,1021,胡春华在广西督导乡村振兴重点帮扶县巩固拓展脱贫攻坚成果工作
农业农村部、国家乡村振兴局与中国人民保险集团签署战略合作协议推动保险服务...,2022/01/08,533,农业农村部、国家乡村振兴局与中国人民保险集团签署战略合作协议推动保险服务三农高质量发展
农业农村部、国家乡村振兴局与交通银行签订战略合作协议共同推进金融服务乡村...,2022/01/08,411,农业农村部、国家乡村振兴局与交通银行签订战略合作协议共同推进金融服务乡村振兴
国家乡村振兴局与中国银行举行工作会谈,2022/01/07,608,国家乡村振兴局与中国银行举行工作会谈
国家乡村振兴局党组召开会议学习贯彻习近平总书记重要讲话精神研究部署今...,2022/01/06,1810,国家乡村振兴局党组召开会议学习贯彻习近平总书记重要讲话精神研究部署今年第一季度重点工作
国家乡村振兴局与中国农业银行举行工作会谈,2022/01/06,527,国家乡村振兴局与中国农业银行举行工作会谈
黄坤明在江西调研时强调持续深入学习宣传党的十九届六中全会精神激励干部...,2022/01/06,319,黄坤明在江西调研时强调持续深入学习宣传党的十九届六中全会精神激励干部群众满怀信心奋进新征程建功新时代
农业农村部党组召开会议认真学习习近平主席新年贺词研究部署一季度农业农村重...,2022/01/05,1038,农业农村部党组召开会议认真学习习近平主席新年贺词研究部署一季度农业农村重点工作
刘焕鑫:沿着习近平总书记指引的方向奋力前进向着推进乡村全面振兴的目标奋...,2022/01/01,2152,刘焕鑫:沿着习近平总书记指引的方向奋力前进向着推进乡村全面振兴的目标奋勇前行
国家乡村振兴局党组召开会议传达学习中央有关精神,2021/12/31,1229,国家乡村振兴局党组召开会议传达学习中央有关精神
央视《朝闻天下》：教育部多措并举推进乡村振兴人才培养,2021/12/30,639,央视《朝闻天下》：教育部多措并举推进乡村振兴人才培养
习近平时间丨乡村振兴，描绘新时代“富村山居图”,2021/12/29,832,习近平时间丨乡村振兴，描绘新时代“富村山居图”
国家乡村振兴局党组书记、局长刘焕鑫到开发指导司党支部联系点调研指导工作,2021/12/29,580,国家乡村振兴局党组书记、局长刘焕鑫到开发指导司党支部联系点调研指导工作
国家乡村振兴局:“两节”将至重点发力做好帮扶工作,2021/12/28,990,国家乡村振兴局:“两节”将至重点发力做好帮扶工作
稳住农业基本盘做好“三农”工作——从中央农村工作会议看2022年“三农...,2021/12/28,1457,稳住农业基本盘做好“三农”工作——从中央农村工作会议看2022年“三农”重点任务
全国乡村振兴局长会议在京召开,2021/12/27,6447,全国乡村振兴局长会议在京召开
确保农业稳产增产、农民稳步增收、农村稳定安宁——访中央农办主任、农业农村...,2021/12/27,1025,确保农业稳产增产、农民稳步增收、农村稳定安宁——访中央农办主任、农业农村部部长唐仁健
央视《朝闻天下》稳字当头稳中求进：怎么看怎么办充分尊重农民意愿积...,2021/12/27,420,央视《朝闻天下》稳字当头稳中求进：怎么看怎么办充分尊重农民意愿积极稳妥推进乡村振兴
中央农村工作会议在京召开习近平对做好“三农”工作作出重要指示李克强提...,2021/12/26,1575,中央农村工作会议在京召开习近平对做好“三农”工作作出重要指示李克强提出要求
国家乡村振兴局党组召开会议研究部署脱贫人口稳岗就业工作,2021/12/26,904,国家乡村振兴局党组召开会议研究部署脱贫人口稳岗就业工作
新时代新征程，总书记这样谋划乡村振兴大棋局,2021/12/26,1135,新时代新征程，总书记这样谋划乡村振兴大棋局
“三农”压舱石，稳稳的,2021/12/26,337,“三农”压舱石，稳稳的
东亚减贫示范合作技术援助项目总结会召开,2021/12/24,172,东亚减贫示范合作技术援助项目总结会召开
唐仁健：中国共产党在“三农”领域的百年成就及其历史经验,2021/12/23,894,唐仁健：中国共产党在“三农”领域的百年成就及其历史经验
2021年度巩固拓展脱贫攻坚成果同乡村振兴有效衔接考核评估工作动员部署会...,2021/12/23,1305,2021年度巩固拓展脱贫攻坚成果同乡村振兴有效衔接考核评估工作动员部署会强调以高度的责任感和使命感组织实施好巩固拓展脱贫攻坚成果同乡村振兴有效衔接考核评估
《中国农村人居环境发展报告（2021）》在京发布,2021/12/23,520,《中国农村人居环境发展报告（2021）》在京发布
央视《朝闻天下》：国家乡村振兴局返贫致贫风险总体可控攻坚成果得到巩固,2021/12/23,459,央视《朝闻天下》：国家乡村振兴局返贫致贫风险总体可控攻坚成果得到巩固
学习贯彻习近平总书记乡村振兴重要论述座谈活动在京举办,2021/12/22,820,学习贯彻习近平总书记乡村振兴重要论述座谈活动在京举办
国家乡村振兴局党组召开扩大会议传达学习中央有关精神,2021/12/19,1469,国家乡村振兴局党组召开扩大会议传达学习中央有关精神
国家乡村振兴局指导、清华大学牵头组建的乡村建设高校联盟在京成立,2021/12/19,714,国家乡村振兴局指导、清华大学牵头组建的乡村建设高校联盟在京成立
第三批全国农村公共服务典型案例在京发布,2021/12/19,630,第三批全国农村公共服务典型案例在京发布
总书记给咱来信了！,2021/12/17,762,总书记给咱来信了！
2021年“宪法进农村”主场活动在四川举办,2021/12/17,200,2021年“宪法进农村”主场活动在四川举办
国家乡村振兴局中华全国工商业联合会关于印发《“万企兴万村”行动倾斜支持...,2021/12/14,5148,国家乡村振兴局中华全国工商业联合会关于印发《“万企兴万村”行动倾斜支持国家乡村振兴重点帮扶县专项工作方案》的通知
国家乡村振兴局党组召开会议传达学习中央经济工作会议精神,2021/12/13,1216,国家乡村振兴局党组召开会议传达学习中央经济工作会议精神
农业农村部党组召开会议强调认真学习贯彻中央经济工作会议精神稳字当头稳...,2021/12/13,918,农业农村部党组召开会议强调认真学习贯彻中央经济工作会议精神稳字当头稳中求进扎实做好明年三农工作
今年前三季度，农村居民人均工资性收入同比名义增长15.3%“饭碗”端得...,2021/12/13,402,今年前三季度，农村居民人均工资性收入同比名义增长15.3%“饭碗”端得牢农民鼓腰包
国家乡村振兴局与湖南省举行工作会谈,2021/12/11,563,国家乡村振兴局与湖南省举行工作会谈
乡村振兴，巩固脱贫成果的中国实践,2021/12/10,1612,乡村振兴，巩固脱贫成果的中国实践
农业农村部：《“十四五”推进农业农村现代化规划》将聚焦七大重点任务,2021/12/10,2769,农业农村部：《“十四五”推进农业农村现代化规划》将聚焦七大重点任务
唐仁健：以务实管用的方法加强和改进乡村治理,2021/12/09,1341,唐仁健：以务实管用的方法加强和改进乡村治理
乡村振兴，未来可期——聚焦《“十四五”推进农业农村现代化规划》新举措,2021/12/09,1382,乡村振兴，未来可期——聚焦《“十四五”推进农业农村现代化规划》新举措
2021中非合作论坛—减贫与发展会议成功举办,2021/12/08,550,2021中非合作论坛—减贫与发展会议成功举办
“洋记者”探秘贵州小城石阡乡村振兴故事,2021/12/08,291,“洋记者”探秘贵州小城石阡乡村振兴故事
农业农村部：深入学习贯彻习近平总书记重要讲话精神主动入位推动做好新时代...,2021/12/07,519,农业农村部：深入学习贯彻习近平总书记重要讲话精神主动入位推动做好新时代农村宗教工作
5年，农村人居环境将有这些新变化,2021/12/07,871,5年，农村人居环境将有这些新变化
国家乡村振兴局党组召开会议强调深入学习贯彻习近平总书记重要讲话精神扎...,2021/12/07,3199,国家乡村振兴局党组召开会议强调深入学习贯彻习近平总书记重要讲话精神扎实推进巩固拓展脱贫攻坚成果和乡村振兴重点工作
国新办举行农村人居环境整治提升五年行动新闻发布会,2021/12/06,625,国新办举行农村人居环境整治提升五年行动新闻发布会
从“摆脱脏乱差”到“追求乡村美”农村人居环境整治提升迈入新征程,2021/12/06,516,从“摆脱脏乱差”到“追求乡村美”农村人居环境整治提升迈入新征程
国家乡村振兴局召开东部地区乡村振兴局局长座谈会研究谋划2022年乡村振...,2021/12/04,1280,国家乡村振兴局召开东部地区乡村振兴局局长座谈会研究谋划2022年乡村振兴和东西部协作工作
国家乡村振兴局与中信集团举行工作会谈,2021/12/04,572,国家乡村振兴局与中信集团举行工作会谈
《乡村振兴——我们在路上》主题宣传活动展现基层奋斗故事,2021/12/07,187,《乡村振兴——我们在路上》主题宣传活动展现基层奋斗故事
央视《朝闻天下》：消费帮扶助力乡村产业振兴,2021/12/03,833,央视《朝闻天下》：消费帮扶助力乡村产业振兴
国家乡村振兴局召开中部地区乡村振兴局局长座谈会研究谋划2022年工作思...,2021/12/02,1804,国家乡村振兴局召开中部地区乡村振兴局局长座谈会研究谋划2022年工作思路和重点举措
我国将构建支持特殊类型地区振兴“1+N”政策体系,2021/12/02,903,我国将构建支持特殊类型地区振兴“1+N”政策体系
扎实推进乡村振兴重点工作,2021/12/02,1994,扎实推进乡村振兴重点工作
服务乡村振兴树立品牌形象,2021/12/02,632,服务乡村振兴树立品牌形象
以品牌意识推进乡村振兴,2021/12/01,1010,以品牌意识推进乡村振兴
国家乡村振兴局党组召开理论学习中心组（扩大）学习交流会深入学习贯彻党的...,2021/11/30,3138,国家乡村振兴局党组召开理论学习中心组（扩大）学习交流会深入学习贯彻党的十九届六中全会精神研究谋划巩固拓展脱贫攻坚成果和推进乡村振兴有关工作
一群特别的演员，一场走心的演出,2021/11/30,268,一群特别的演员，一场走心的演出
习近平的扶贫故事丨“脱贫攻坚是我心里最牵挂的一件大事”,2021/11/26,2084,习近平的扶贫故事丨“脱贫攻坚是我心里最牵挂的一件大事”
胡春华在陕西督导国家乡村振兴重点帮扶县巩固拓展脱贫攻坚成果工作,2021/11/29,937,胡春华在陕西督导国家乡村振兴重点帮扶县巩固拓展脱贫攻坚成果工作
新征程｜咬定青山不放松——党的十九届六中全会精神引发乡村振兴工作者热烈反...,2021/11/25,797,新征程｜咬定青山不放松——党的十九届六中全会精神引发乡村振兴工作者热烈反响
习近平的扶贫故事丨考察生态移民区“把脉”脱贫攻坚,2021/11/24,460,习近平的扶贫故事丨考察生态移民区“把脉”脱贫攻坚
国家乡村振兴局召开西部地区乡村振兴局局长座谈会,2021/11/24,1186,国家乡村振兴局召开西部地区乡村振兴局局长座谈会
国家乡村振兴局召开全国乡村振兴局长视频会议,2021/11/19,1903,国家乡村振兴局召开全国乡村振兴局长视频会议
国家乡村振兴局召开乡村振兴专家座谈会,2021/11/19,1441,国家乡村振兴局召开乡村振兴专家座谈会
在乡村治理中推广运用清单制暨农村移风易俗视频会强调全面加强和改进乡村治理...,2021/11/17,1253,在乡村治理中推广运用清单制暨农村移风易俗视频会强调全面加强和改进乡村治理夯实乡村振兴基层基础
国家乡村振兴局召开党员干部大会传达学习党的十九届六中全会精神,2021/11/17,1051,国家乡村振兴局召开党员干部大会传达学习党的十九届六中全会精神
全国“万企兴万村”行动领导小组召开第一次全体会议,2021/11/17,997,全国“万企兴万村”行动领导小组召开第一次全体会议
中共中央关于党的百年奋斗重大成就和历史经验的决议,2021/11/16,519,中共中央关于党的百年奋斗重大成就和历史经验的决议
国家乡村振兴局党组召开会议传达学习党的十九届六中全会精神,2021/11/13,3723,国家乡村振兴局党组召开会议传达学习党的十九届六中全会精神
习近平时间｜乡村振兴更美好的生活就在前方,2021/11/12,3470,习近平时间｜乡村振兴更美好的生活就在前方
中国共产党第十九届中央委员会第六次全体会议公报,2021/11/12,2256,中国共产党第十九届中央委员会第六次全体会议公报
在新时代新征程上赢得更加伟大的胜利和荣光,2021/11/12,1873,在新时代新征程上赢得更加伟大的胜利和荣光
时政微纪录丨人民就是江山,2021/11/11,1820,时政微纪录丨人民就是江山
农村产业振兴划重点一系列支持政策将落地,2021/11/09,3432,农村产业振兴划重点一系列支持政策将落地
弘扬脱贫攻坚精神全面推进乡村振兴,2021/11/08,6471,弘扬脱贫攻坚精神全面推进乡村振兴
国家乡村振兴局党组召开会议强调深入学习贯彻习近平总书记重要讲话精神扎...,2021/11/06,3515,国家乡村振兴局党组召开会议强调深入学习贯彻习近平总书记重要讲话精神扎实做好乡村振兴有关具体工作
【弘扬伟大建党精神开创历史新伟业】摆脱贫困：中国书写人类发展史上的光辉...,2021/11/05,2110,【弘扬伟大建党精神开创历史新伟业】摆脱贫困：中国书写人类发展史上的光辉篇章
李克强主持召开国务院常务会议,2021/11/04,2477,李克强主持召开国务院常务会议
丁仲礼率调研组来桂调研乡村振兴工作,2021/11/03,2510,丁仲礼率调研组来桂调研乡村振兴工作
创造彪炳史册的人间奇迹——以习近平同志为核心的党中央引领亿万人民打赢脱贫...,2021/11/03,2634,创造彪炳史册的人间奇迹——以习近平同志为核心的党中央引领亿万人民打赢脱贫攻坚战述评
刘焕鑫赴云南调研巩固拓展脱贫攻坚成果同乡村振兴有效衔接工作,2021/11/02,3035,刘焕鑫赴云南调研巩固拓展脱贫攻坚成果同乡村振兴有效衔接工作
唐仁健在广西调研时强调做大做强特色产业扎实推进乡村建设确保全面推进...,2021/11/01,2481,唐仁健在广西调研时强调做大做强特色产业扎实推进乡村建设确保全面推进乡村振兴开好局起好步
农业农村部就乡村治理创新典型相关情况举行发布会,2021/11/01,2724,农业农村部就乡村治理创新典型相关情况举行发布会
传承红色基因牢记初心使命奋力开创乡村振兴新局面——国家乡村振兴局党员...,2021/10/29,3104,传承红色基因牢记初心使命奋力开创乡村振兴新局面——国家乡村振兴局党员干部赴香山革命纪念馆和香山革命纪念地开展红色教育
乡村治理怎么干？农业农村部、国家乡村振兴局联合发布工作指南！,2021/10/29,4597,乡村治理怎么干？农业农村部、国家乡村振兴局联合发布工作指南！
国家乡村振兴局党组召开扩大会议深入学习习近平总书记关于乡村振兴重要讲话和...,2021/10/28,4591,国家乡村振兴局党组召开扩大会议深入学习习近平总书记关于乡村振兴重要讲话和指示精神研究部署巩固拓展脱贫攻坚成果、推进实施乡村振兴战略有关具体工作
胡春华出席2021脱贫地区农副产品产销对接会启动仪式,2021/10/27,2741,胡春华出席2021脱贫地区农副产品产销对接会启动仪式
农业农村部党组召开会议强调深入学习贯彻习近平总书记重要讲话精神扎实推进黄...,2021/10/26,2780,农业农村部党组召开会议强调深入学习贯彻习近平总书记重要讲话精神扎实推进黄河流域生态保护和高质量发展三农领域重点工作
联合国秘书长称赞中国减贫成就呼吁各国团结应对多重挑战,2021/10/26,1857,联合国秘书长称赞中国减贫成就呼吁各国团结应对多重挑战
国家乡村振兴局主要负责同志调整,2021/10/23,5587,国家乡村振兴局主要负责同志调整
尤权在贵州调研时强调抓好中央民族工作会议精神贯彻落实助推乡村振兴战略...,2021/10/22,2694,尤权在贵州调研时强调抓好中央民族工作会议精神贯彻落实助推乡村振兴战略全面实施
共享减贫经验携手共谋发展——2021乡村发展高层论坛侧记,2021/10/22,2431,共享减贫经验携手共谋发展——2021乡村发展高层论坛侧记
农业农村部举办2021年职工健步走活动,2021/10/22,1947,农业农村部举办2021年职工健步走活动
2021全球减贫伙伴研讨会举办,2021/10/21,2316,2021全球减贫伙伴研讨会举办
先进典型宣传片——《榜样的力量》,2021/10/21,2233,先进典型宣传片——《榜样的力量》
胡春华出席2021乡村发展高层论坛开幕式并致辞,2021/10/20,4093,胡春华出席2021乡村发展高层论坛开幕式并致辞
国新办举行前三季度农业农村经济运行情况新闻发布会图文实录,2021/10/20,2376,国新办举行前三季度农业农村经济运行情况新闻发布会图文实录
乡村发展与农村人居环境治理论坛在京举行,2021/10/20,2465,乡村发展与农村人居环境治理论坛在京举行
国家乡村振兴局：为全球贫困治理贡献更多中国方案,2021/10/20,2303,国家乡村振兴局：为全球贫困治理贡献更多中国方案
国新办举行前三季度农业农村经济运行情况新闻发布会,2021/10/20,1765,国新办举行前三季度农业农村经济运行情况新闻发布会
央视《焦点访谈》：全面小康开辟全面保障人权新时代,2021/09/08,4140,央视《焦点访谈》：全面小康开辟全面保障人权新时代
全国落实土地出让收入支农政策和做好财政支农支出工作视频会议召开,2021/10/20,1989,全国落实土地出让收入支农政策和做好财政支农支出工作视频会议召开
2021乡村发展高层论坛将于10月19日正式开幕,2021/10/18,4408,2021乡村发展高层论坛将于10月19日正式开幕
栉风沐雨，创造彪炳史册的人间奇迹——脱贫攻坚精神述评,2021/10/18,3212,栉风沐雨，创造彪炳史册的人间奇迹——脱贫攻坚精神述评
全党全国全社会都要大力弘扬脱贫攻坚精神——论中国共产党人的精神谱系之二十...,2021/10/18,2202,全党全国全社会都要大力弘扬脱贫攻坚精神——论中国共产党人的精神谱系之二十四
脱贫攻坚精神：创造彪炳史册的人间奇迹,2021/10/18,2242,脱贫攻坚精神：创造彪炳史册的人间奇迹
央视《新闻联播》：脱贫攻坚创造人间奇迹乡村振兴开启新的征程,2021/10/18,2679,央视《新闻联播》：脱贫攻坚创造人间奇迹乡村振兴开启新的征程
央视《新闻直播间》：今天是国际消除贫困日我国巩固拓展脱贫攻坚成果取得成...,2021/10/17,1937,央视《新闻直播间》：今天是国际消除贫困日我国巩固拓展脱贫攻坚成果取得成效
他们的名字，印刻在人类反贫困斗争的丰碑上,2021/10/17,1857,他们的名字，印刻在人类反贫困斗争的丰碑上
唐仁健：扎实推进乡村全面振兴,2021/10/16,3948,唐仁健：扎实推进乡村全面振兴
全国金融支持乡村振兴培训班在安徽举办,2021/10/16,1957,全国金融支持乡村振兴培训班在安徽举办
国家乡村振兴局四川省人民政府中国农业银行启动共建乡村振兴金融创新示范...,2021/10/15,2298,国家乡村振兴局四川省人民政府中国农业银行启动共建乡村振兴金融创新示范区
王正谱到北京市调研乡村振兴工作,2021/10/15,2210,王正谱到北京市调研乡村振兴工作
全国东西部协作培训班在四川举办,2021/10/15,1964,全国东西部协作培训班在四川举办
党领导新中国“三农”工作的历史经验与启示,2021/10/15,3548,党领导新中国“三农”工作的历史经验与启示
《沧桑百年间——中国摆脱贫困影像记忆》出版发行,2021/10/15,2882,《沧桑百年间——中国摆脱贫困影像记忆》出版发行
中国共产党人的精神谱系|上下同心，尽锐出战——脱贫攻坚精神述评,2021/10/14,2689,中国共产党人的精神谱系|上下同心，尽锐出战——脱贫攻坚精神述评
农业农村部与北京市签署合作协议,2021/10/14,2312,农业农村部与北京市签署合作协议
央视《焦点访谈》：幸福的司莫拉,2021/10/13,2941,央视《焦点访谈》：幸福的司莫拉
我国三年内将实现建制村快递直接收投,2021/10/13,2461,我国三年内将实现建制村快递直接收投
王正谱赴陕西调研巩固拓展脱贫攻坚成果同乡村振兴有效衔接工作,2021/10/12,3774,王正谱赴陕西调研巩固拓展脱贫攻坚成果同乡村振兴有效衔接工作
习近平时间｜“田园”变“乐园”，中国美丽乡村“火起来”,2021/10/11,3234,习近平时间｜“田园”变“乐园”，中国美丽乡村“火起来”
习近平时间｜乡村振兴，未来有“数”,2021/10/11,4762,习近平时间｜乡村振兴，未来有“数”
王正谱：在全国驻村帮扶工作推进会上的讲话,2021/10/09,7392,王正谱：在全国驻村帮扶工作推进会上的讲话
国家乡村振兴局召开社会组织工作座谈会,2021/10/09,3452,国家乡村振兴局召开社会组织工作座谈会
全国防返贫监测动态调整和信息采集培训班在重庆市举办,2021/10/09,3480,全国防返贫监测动态调整和信息采集培训班在重庆市举办
乡村振兴促进法促进了啥（上）,2021/10/09,3325,乡村振兴促进法促进了啥（上）
《十九大以来重要文献选编》中册主要篇目介绍,2021/10/08,2593,《十九大以来重要文献选编》中册主要篇目介绍
汪洋参观全国兴边富民成就展,2021/09/30,2884,汪洋参观全国兴边富民成就展
2021年“民营企业南疆行”活动大会召开,2021/09/29,3029,2021年“民营企业南疆行”活动大会召开
把解决好“三农”问题作为重中之重——习近平总书记领航农业农村高质量发展（...,2021/09/28,5212,把解决好“三农”问题作为重中之重——习近平总书记领航农业农村高质量发展（之一）
中国的全面小康,2021/09/28,4858,中国的全面小康
全国乡村振兴职业技能大赛在新疆乌鲁木齐开幕,2021/09/27,3020,全国乡村振兴职业技能大赛在新疆乌鲁木齐开幕
央视《焦点访谈》：乡村振兴新画卷,2021/09/27,2994,央视《焦点访谈》：乡村振兴新画卷
胡春华强调确保新发展阶段农村人居环境整治提升开好局、起好步,2021/09/26,4103,胡春华强调确保新发展阶段农村人居环境整治提升开好局、起好步
